1,1500,700,4,0.01,50,800,87330,30000,65536,10000,131072
1,1500,600,2,0.001,25,700,87330,30000,65536,10000,131072
1,1500,600,3,0.1,75,500,33554432,30000,33554432,10000,131072
1,1500,700,3,0.0,50,900,33554432,30000,33554432,20000,131072
1,1500,500,1,0.0001,50,800,33554432,30000,33554432,20000,131072
1,1500,500,1,0.0001,50,800,8388608,10000,16777216,10000,131072
1,1500,500,1,0.0001,50,800,8388608,5000,16777216,10000,131072
1,1500,500,2,0.0001,50,800,8388608,5000,16777216,10000,131072
1,1500,500,3,0.0001,50,800,8388608,5000,16777216,10000,131072
1,1500,500,4,0.0001,50,800,8388608,5000,16777216,10000,131072
1,1500,500,4,0.0001,50,800,8388608,5000,16777216,10000,131072
1,1500,500,4,0.0001,50,800,8388608,5000,16777216,10000,131072
1,1500,600,3,0.0001,50,800,8388608,5000,16777216,10000,2097152
1,1500,600,3,0.0001,50,800,8388608,5000,16777216,10000,4194304
1,1500,600,3,0.0001,50,800,8388608,5000,16777216,10000,8388608
1,1500,600,3,0.0001,25,800,8388608,10000,16777216,10000,8388608
1,1500,700,2,0.0001,25,800,8388608,10000,16777216,10000,8388608
1,1500,700,1,0.0001,25,800,8388608,10000,16777216,10000,8388608
1,1500,700,4,0.0001,25,800,8388608,10000,16777216,10000,8388608
1,1500,900,2,0.0001,25,800,8388608,10000,16777216,10000,8388608
